NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
ÁTILA RÚBIA DE DEUS,79821.3,PREFEITO,1460,DEM
IRIS AURÉLIO BORGES DIAS,79746.72,PREFEITO,973,REPUBLICANOS
EVERTON FRANCISCO DE MATOS,79500,PREFEITO,3577,PDT
CLEUTON GOMES DE MOURA,78853.04,PREFEITO,2227,DEM
KELTON PINHEIRO,78778.45000000001,PREFEITO,3534,CIDADANIA
EDSON PALMEIRAS DOS SANTOS,78589.78,PREFEITO,2011,DEM
DIVINA APARECIDA ZAGO SOUSA,78448,PREFEITO,1365,SOLIDARIEDADE
DELVAIR RAMOS MARINHO,78391.05,PREFEITO,1637,PL
JOSE RIBEIRO DE ANDRADE,78222.29000000001,PREFEITO,345,PSL
ALCIONE RODRIGUES BRAGA,78014.93,PREFEITO,1285,PSB
VIRGINIA ANGELICA SANTOS CASTRO,78013.1,PREFEITO,1714,PP
JOAQUIM BARBOSA FILHO,77841,PREFEITO,2229,DEM
WILLIAN BARBOSA SOARES,76949.49,PREFEITO,484,PDT
LUIZ CARLOS INÁCIO FERREIRA,76345,PREFEITO,2018,PP
PLÍNIO LEÃO RESENDE,76258.32,PREFEITO,4138,MDB
CÁCIO MOREIRA ADORNO,76199.92,PREFEITO,2488,PDT
AGMAR RIBEIRO DOS SANTOS,76171.94,PREFEITO,3070,PTB
DALTON VIEIRA SANTOS,75850,PREFEITO,2448,PP
MURILO CESAR DA SILVA,75733.83,PREFEITO,1486,PP
JOB MARTINS DE DEUS,75574.85,PREFEITO,2856,PDT
ELI RIBEIRO PINTO,75026.17,PREFEITO,16,DEM
TIAGO MENDONÇA SILVA,74430.5,PREFEITO,1343,PSDB
DARLENE HEIDE PASSOS,74368.57,PREFEITO,1059,PSB
CLEITON GONÇALVES MARTINS,74137.14,PREFEITO,3166,PL
CLAUDINEY ANTONIO MACHADO,74060,PREFEITO,3373,DEM
FERNANDA NOLASCO VANDERLEY OLIVEIRA,73528.95,PREFEITO,1356,DEM
JOAQUIM DOS REIS PEREIRA,73502.1,PREFEITO,738,PP
MARCOS ANTONIO CARLOS,73479,PREFEITO,1713,MDB
DOUGLAS ADYEL RIBEIRO DE FARIA,73214.33,PREFEITO,1749,PL
SEBASTIÃO ELOI DOS SANTOS,73178,PREFEITO,1857,PODE
GILBERTO GALDINO DE SOUZA,72997.05,PREFEITO,1294,PL
TIAGO JAPIASSU BATISTA DO NASCIMENTO ANDRADE,72800,PREFEITO,1713,PSDB
